epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2466.69,0.84366,0.62745,0.9634,0.68333,0.35362,0.37894,0.28596,1.08797,2.10351,1.10533,0.000270316,0.000270316,0.000270316
43,2523.91,0.8467,0.6238,0.96275,0.65507,0.34894,0.37372,0.2841,1.10686,2.17123,1.11489,0.000265811,0.000265811,0.000265811
44,2581.54,0.83564,0.60722,0.95906,0.6096,0.36183,0.37432,0.28237,1.10721,2.15167,1.11999,0.000261307,0.000261307,0.000261307
45,2638.53,0.83161,0.61585,0.95682,0.63595,0.35836,0.38467,0.28853,1.102,2.11419,1.11546,0.000256802,0.000256802,0.000256802
46,2695.71,0.82557,0.59742,0.95445,0.66769,0.35896,0.38803,0.29228,1.09829,2.07048,1.11086,0.000252298,0.000252298,0.000252298
47,2753.18,0.81634,0.594,0.95448,0.63561,0.36176,0.38925,0.29433,1.07989,2.10576,1.10186,0.000247793,0.000247793,0.000247793
48,2810.96,0.81131,0.59121,0.9535,0.65691,0.3723,0.39578,0.29995,1.09475,2.08899,1.11334,0.000243289,0.000243289,0.000243289
49,2868.4,0.80494,0.58021,0.94743,0.68489,0.35461,0.3876,0.29511,1.08148,2.09633,1.10639,0.000238784,0.000238784,0.000238784
50,2926.03,0.80601,0.57096,0.94919,0.61657,0.36197,0.38189,0.28901,1.09491,2.13928,1.1138,0.00023428,0.00023428,0.00023428
51,2983.2,0.80459,0.57839,0.95012,0.6628,0.35631,0.38159,0.28975,1.08649,2.15053,1.11575,0.000229775,0.000229775,0.000229775
52,3040.48,0.78913,0.56114,0.94227,0.64361,0.36875,0.39389,0.29781,1.08022,2.15458,1.10929,0.00022527,0.00022527,0.00022527
53,3097.81,0.7936,0.56351,0.94464,0.64314,0.36499,0.39113,0.29929,1.08214,2.14924,1.10765,0.000220766,0.000220766,0.000220766
54,3155.47,0.78544,0.54862,0.94026,0.67418,0.3737,0.3981,0.30024,1.10008,2.15021,1.11358,0.000216261,0.000216261,0.000216261
55,3218.81,0.78528,0.55208,0.94687,0.65232,0.37305,0.39133,0.30015,1.06139,2.17588,1.09689,0.000211757,0.000211757,0.000211757
56,3276.46,0.77694,0.54808,0.93978,0.6663,0.36308,0.39248,0.2954,1.07605,2.17499,1.10332,0.000207252,0.000207252,0.000207252
57,3333.85,0.77314,0.53633,0.9364,0.72026,0.35934,0.39907,0.30108,1.07348,2.11503,1.10286,0.000202748,0.000202748,0.000202748
58,3391.03,0.77579,0.54174,0.94299,0.67951,0.36871,0.40021,0.30369,1.07637,2.15207,1.1033,0.000198244,0.000198244,0.000198244
