epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1315.22,1.07516,0.91267,1.04077,0.5524,0.35552,0.36189,0.25081,1.28905,1.94419,1.15378,0.00898525,0.00898525,0.00898525
43,1349.65,1.06442,0.89984,1.02732,0.55544,0.36823,0.37796,0.2594,1.27599,1.94207,1.16306,0.0089605,0.0089605,0.0089605
44,1384.66,1.06269,0.89812,1.03048,0.53438,0.36284,0.37476,0.25288,1.3243,1.93266,1.18271,0.00893575,0.00893575,0.00893575
45,1415.95,1.06336,0.89361,1.02751,0.5647,0.3745,0.38082,0.26024,1.29497,1.91202,1.18019,0.008911,0.008911,0.008911
46,1443.03,1.04125,0.86932,1.022,0.51618,0.38515,0.38485,0.26627,1.28323,1.92756,1.1595,0.00888625,0.00888625,0.00888625
47,1470.26,1.03935,0.8518,1.01886,0.51565,0.38092,0.37834,0.25614,1.29688,1.99148,1.16597,0.0088615,0.0088615,0.0088615
48,1497.78,1.0468,0.8568,1.01415,0.53848,0.36942,0.36267,0.25136,1.27719,1.98606,1.15106,0.00883675,0.00883675,0.00883675
49,1525.51,1.04432,0.85615,1.01517,0.51657,0.3768,0.37439,0.25799,1.29338,2.00789,1.17545,0.008812,0.008812,0.008812
50,1552.99,1.02051,0.83485,1.00818,0.5782,0.36733,0.38506,0.26466,1.28249,1.90618,1.14864,0.00878725,0.00878725,0.00878725
51,1581.49,1.03005,0.84157,1.00873,0.57579,0.36636,0.37368,0.2554,1.28969,1.99933,1.15358,0.0087625,0.0087625,0.0087625
52,1614.93,1.01177,0.81752,1.00049,0.49549,0.39001,0.37186,0.25412,1.28171,1.97035,1.14744,0.00873775,0.00873775,0.00873775
53,1649.74,0.99783,0.7961,0.99953,0.54751,0.38118,0.37222,0.25736,1.27446,1.93536,1.16172,0.008713,0.008713,0.008713
54,1684.61,1.00782,0.80209,1.00124,0.6115,0.38687,0.40678,0.28009,1.26583,1.86591,1.1392,0.00868825,0.00868825,0.00868825
55,1719.49,0.99334,0.78669,0.99432,0.54475,0.37823,0.37729,0.26054,1.27914,1.94594,1.15252,0.0086635,0.0086635,0.0086635
56,1754.01,0.99923,0.77778,0.99273,0.56967,0.38791,0.39033,0.27105,1.24305,1.91404,1.13672,0.00863875,0.00863875,0.00863875
57,1788.7,0.98201,0.77154,0.99438,0.58747,0.38613,0.39796,0.27531,1.25779,1.9908,1.15864,0.008614,0.008614,0.008614
58,1823.64,0.99151,0.76957,0.98929,0.6057,0.38305,0.40457,0.28244,1.2513,1.89807,1.14144,0.00858925,0.00858925,0.00858925
59,1858.93,1.00054,0.76721,0.99212,0.60158,0.39168,0.4195,0.28937,1.24924,1.90919,1.14177,0.0085645,0.0085645,0.0085645
60,1893.51,0.97254,0.7541,0.98375,0.60239,0.39491,0.40696,0.2819,1.25351,1.91344,1.1287,0.00853975,0.00853975,0.00853975
61,1926.27,0.98531,0.75356,0.98674,0.58644,0.39986,0.41098,0.28209,1.25703,1.95158,1.14051,0.008515,0.008515,0.008515
62,1960.61,0.96074,0.74378,0.98918,0.62746,0.39208,0.40607,0.28203,1.22617,1.90676,1.13005,0.00849025,0.00849025,0.00849025
63,1992.01,0.96243,0.7389,0.98361,0.64105,0.38518,0.41369,0.29164,1.2258,1.85924,1.13232,0.0084655,0.0084655,0.0084655
64,2019.28,0.95698,0.73012,0.98424,0.57894,0.3998,0.40823,0.28422,1.22552,1.89833,1.12781,0.00844075,0.00844075,0.00844075
