epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2098,1.39266,4.13327,1.27216,0.25276,0.13734,0.05428,0.03502,1.28404,2.93313,1.20045,0.00015109,0.00015109,0.00015109
2,78.106,1.34989,3.32365,1.24124,0.20165,0.17076,0.08573,0.05982,1.27442,2.82264,1.21818,0.000299759,0.000299759,0.000299759
3,116.485,1.35402,3.0625,1.2475,0.22171,0.19379,0.10768,0.06979,1.33869,2.73322,1.2405,0.000445426,0.000445426,0.000445426
