epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4778.32,0.74883,0.52141,0.94532,0.68627,0.38579,0.4157,0.31648,1.05609,2.09651,1.12921,0.007921,0.007921,0.007921
44,4891.59,0.76367,0.53076,0.94483,0.64176,0.38657,0.4093,0.31174,1.04676,2.07834,1.12683,0.0078715,0.0078715,0.0078715
45,5005.06,0.7593,0.52643,0.94595,0.70387,0.3827,0.42029,0.32112,1.03313,2.07907,1.13214,0.007822,0.007822,0.007822
46,5118.83,0.74772,0.51193,0.94483,0.67067,0.39034,0.42749,0.32235,1.0334,2.13465,1.12381,0.0077725,0.0077725,0.0077725
47,5232.51,0.75054,0.51899,0.94116,0.65863,0.39298,0.41686,0.31746,1.03505,2.08295,1.1249,0.007723,0.007723,0.007723
48,5346,0.749,0.51934,0.94545,0.66203,0.38858,0.42124,0.31921,1.03377,2.0845,1.13745,0.0076735,0.0076735,0.0076735
49,5459.81,0.73161,0.49935,0.93483,0.64542,0.3892,0.41293,0.31293,1.03352,2.14229,1.12906,0.007624,0.007624,0.007624
50,5573.62,0.72873,0.49887,0.93861,0.63592,0.39657,0.41724,0.31658,1.03842,2.07511,1.12936,0.0075745,0.0075745,0.0075745
51,5686.65,0.73026,0.50613,0.93764,0.66993,0.3871,0.41417,0.31623,1.03465,2.06245,1.12833,0.007525,0.007525,0.007525
52,5800.78,0.73903,0.49991,0.93786,0.67338,0.38699,0.42474,0.32518,1.02238,2.09752,1.12869,0.0074755,0.0074755,0.0074755
53,5914.69,0.73007,0.49919,0.93787,0.65849,0.3967,0.42155,0.32197,1.02376,2.06014,1.11695,0.007426,0.007426,0.007426
54,6028.15,0.72588,0.49404,0.93332,0.64673,0.39345,0.4217,0.32375,1.03182,2.06743,1.1171,0.0073765,0.0073765,0.0073765
55,6142.17,0.72405,0.49907,0.93443,0.68912,0.38957,0.42635,0.32134,1.03674,2.07432,1.12387,0.007327,0.007327,0.007327
56,6255.93,0.71741,0.49189,0.93627,0.64492,0.39278,0.42335,0.32419,1.01567,2.07797,1.11932,0.0072775,0.0072775,0.0072775
57,6369.22,0.72501,0.48979,0.93367,0.67165,0.39849,0.43131,0.32764,1.01863,2.02287,1.11493,0.007228,0.007228,0.007228
58,6482.93,0.71071,0.47963,0.933,0.70333,0.39425,0.43157,0.33114,1.01029,2.06368,1.12063,0.0071785,0.0071785,0.0071785
59,6596.64,0.71616,0.48607,0.9319,0.67489,0.39717,0.42534,0.32748,1.00813,2.04205,1.11513,0.007129,0.007129,0.007129
60,6710.27,0.71822,0.48066,0.93043,0.72829,0.38512,0.43183,0.33232,1.00597,2.053,1.12003,0.0070795,0.0070795,0.0070795
61,6824.83,0.70845,0.48193,0.92489,0.65008,0.40478,0.42802,0.32858,0.98984,2.04616,1.10379,0.00703,0.00703,0.00703
62,6938.8,0.70952,0.48503,0.93336,0.67852,0.39744,0.4245,0.3257,0.99665,2.08936,1.11318,0.0069805,0.0069805,0.0069805
63,7052.56,0.70538,0.46797,0.92638,0.69169,0.39511,0.42878,0.33024,0.99778,2.0852,1.1081,0.006931,0.006931,0.006931
64,7165.76,0.70336,0.47405,0.9323,0.72831,0.39556,0.43271,0.33404,0.98604,2.03127,1.10439,0.0068815,0.0068815,0.0068815
65,7280.37,0.69984,0.47434,0.92892,0.68256,0.39714,0.43226,0.33228,0.97988,2.05722,1.09802,0.006832,0.006832,0.006832
66,7393.91,0.6928,0.46507,0.92327,0.67344,0.39409,0.42665,0.32614,1.00301,2.11434,1.10725,0.0067825,0.0067825,0.0067825
67,7505.93,0.7016,0.45944,0.92137,0.68684,0.39431,0.42818,0.33224,0.97497,2.06047,1.09183,0.006733,0.006733,0.006733
68,7617.47,0.68895,0.45847,0.91627,0.75136,0.38085,0.43271,0.33396,0.99264,2.10249,1.1075,0.0066835,0.0066835,0.0066835
69,7728.89,0.68685,0.45627,0.92411,0.70702,0.39789,0.44175,0.34105,0.98444,2.05116,1.10255,0.006634,0.006634,0.006634
70,7840.32,0.69627,0.46237,0.92087,0.67512,0.40333,0.43429,0.33466,0.98926,2.06897,1.0963,0.0065845,0.0065845,0.0065845
71,7952.18,0.69139,0.45447,0.92411,0.65882,0.41064,0.43306,0.33465,0.9939,2.03441,1.11256,0.006535,0.006535,0.006535
72,8064.01,0.68713,0.45942,0.92408,0.70041,0.39608,0.43784,0.33789,0.98754,2.0554,1.10361,0.0064855,0.0064855,0.0064855
73,8175.4,0.67846,0.45482,0.9237,0.68465,0.4064,0.44124,0.34196,0.98658,2.04441,1.10761,0.006436,0.006436,0.006436
74,8287.25,0.67845,0.44507,0.91654,0.70354,0.39782,0.44015,0.34063,1.00442,2.08525,1.1166,0.0063865,0.0063865,0.0063865
75,8398.79,0.67437,0.44289,0.91715,0.71769,0.3979,0.43607,0.3372,0.98514,2.05744,1.11252,0.006337,0.006337,0.006337
76,8510.04,0.67536,0.44384,0.91954,0.70466,0.39989,0.4371,0.33908,0.99582,2.0742,1.11574,0.0062875,0.0062875,0.0062875
77,8621.51,0.67356,0.44436,0.91699,0.68051,0.4048,0.43517,0.33627,0.99681,2.07604,1.11429,0.006238,0.006238,0.006238
78,8733.26,0.6736,0.44706,0.9234,0.71839,0.39638,0.43584,0.33807,0.99155,2.07465,1.11725,0.0061885,0.0061885,0.0061885
79,8844.74,0.6667,0.43736,0.91885,0.73578,0.39787,0.43996,0.34156,0.97545,2.09203,1.10613,0.006139,0.006139,0.006139
80,8956.01,0.672,0.44039,0.92088,0.68368,0.40052,0.43227,0.33684,0.98631,2.10678,1.11094,0.0060895,0.0060895,0.0060895
