epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2417.93,0.9605,0.78373,1.0026,0.60463,0.35165,0.36452,0.26659,1.15303,2.11735,1.13433,0.0180169,0.0180169,0.0180169
43,2474.95,0.93108,0.75744,0.9942,0.58914,0.34046,0.35327,0.25905,1.13226,2.20488,1.1155,0.0179225,0.0179225,0.0179225
44,2531.95,0.94014,0.76202,0.9955,0.54263,0.34566,0.34534,0.25307,1.15869,2.23508,1.13551,0.0178263,0.0178263,0.0178263
45,2588.62,0.93839,0.7649,1.00036,0.61719,0.3448,0.35574,0.26122,1.12475,2.19347,1.11209,0.0177281,0.0177281,0.0177281
46,2645.21,0.92625,0.74799,0.98863,0.63461,0.34228,0.35489,0.26187,1.13413,2.1945,1.12759,0.017628,0.017628,0.017628
47,2702.09,0.94666,0.76202,0.9927,0.59835,0.35704,0.36113,0.26491,1.13891,2.20044,1.12462,0.0175261,0.0175261,0.0175261
48,2759.46,0.92122,0.73674,0.99083,0.66711,0.34704,0.37026,0.27234,1.13011,2.14679,1.12643,0.0174223,0.0174223,0.0174223
49,2816.93,0.91046,0.72545,0.98593,0.58814,0.35536,0.36683,0.27074,1.12667,2.1626,1.12073,0.0173168,0.0173168,0.0173168
50,2873.87,0.92578,0.72876,0.98971,0.66649,0.35229,0.37569,0.27531,1.11807,2.11875,1.12458,0.0172095,0.0172095,0.0172095
51,2930.49,0.91159,0.71753,0.98458,0.62613,0.34405,0.37038,0.2769,1.11877,2.18163,1.11839,0.0171004,0.0171004,0.0171004
52,2987.24,0.91611,0.72046,0.98358,0.676,0.34481,0.37163,0.27411,1.10226,2.08684,1.10971,0.0169895,0.0169895,0.0169895
53,3044.2,0.91332,0.71066,0.98168,0.63968,0.35336,0.37803,0.27826,1.13067,2.10765,1.1321,0.016877,0.016877,0.016877
54,3101.27,0.91321,0.71559,0.99106,0.6624,0.34259,0.36407,0.26947,1.13868,2.19518,1.12594,0.0167628,0.0167628,0.0167628
55,3158.61,0.90592,0.70404,0.97625,0.59301,0.36204,0.37513,0.27968,1.13028,2.15417,1.12829,0.016647,0.016647,0.016647
56,3215.18,0.89213,0.7022,0.98228,0.59036,0.3648,0.37504,0.27894,1.10674,2.15443,1.11199,0.0165295,0.0165295,0.0165295
57,3272.49,0.89459,0.69798,0.97974,0.65881,0.35536,0.37271,0.27937,1.11631,2.15676,1.1118,0.0164105,0.0164105,0.0164105
58,3328.95,0.88351,0.69274,0.97874,0.62031,0.36466,0.38176,0.28386,1.12302,2.13664,1.12007,0.0162899,0.0162899,0.0162899
59,3385.91,0.88027,0.6876,0.97306,0.64001,0.35692,0.37522,0.28023,1.11354,2.14255,1.11435,0.0161678,0.0161678,0.0161678
60,3442.89,0.89941,0.68795,0.97835,0.66319,0.3573,0.37765,0.28275,1.11142,2.16186,1.11637,0.0160442,0.0160442,0.0160442
61,3500.81,0.87474,0.6674,0.96911,0.66594,0.35529,0.37944,0.28152,1.1131,2.13665,1.11916,0.0159191,0.0159191,0.0159191
62,3557.53,0.88506,0.68249,0.97291,0.61568,0.36726,0.37384,0.28149,1.11042,2.18524,1.10916,0.0157926,0.0157926,0.0157926
63,3614.85,0.89077,0.67213,0.97295,0.67256,0.36546,0.38413,0.2864,1.1211,2.12257,1.1143,0.0156646,0.0156646,0.0156646
64,3671.92,0.88282,0.66933,0.9728,0.68416,0.35817,0.37997,0.28547,1.11118,2.16842,1.11382,0.0155353,0.0155353,0.0155353
65,3728.32,0.86517,0.6482,0.96395,0.63565,0.36622,0.38289,0.28648,1.11494,2.20244,1.12391,0.0154047,0.0154047,0.0154047
66,3785.35,0.86387,0.6493,0.96379,0.68828,0.3578,0.39428,0.29437,1.10312,2.12164,1.10913,0.0152727,0.0152727,0.0152727
67,3842.64,0.86547,0.65136,0.96537,0.68774,0.36035,0.3877,0.29076,1.10259,2.14763,1.11491,0.0151395,0.0151395,0.0151395
68,3899.63,0.85539,0.62927,0.96358,0.61621,0.36706,0.38072,0.28431,1.10229,2.17137,1.10853,0.015005,0.015005,0.015005
69,3956.66,0.8727,0.63879,0.96206,0.64157,0.36381,0.38227,0.28616,1.09725,2.14064,1.11679,0.0148694,0.0148694,0.0148694
70,4013.42,0.85896,0.64153,0.95717,0.68032,0.36529,0.39302,0.29506,1.08674,2.16315,1.0946,0.0147325,0.0147325,0.0147325
71,4070.01,0.86405,0.63844,0.96197,0.67476,0.36658,0.39784,0.29755,1.09067,2.1402,1.1046,0.0145945,0.0145945,0.0145945
72,4126.79,0.86705,0.64078,0.96672,0.66759,0.34993,0.38186,0.2891,1.10239,2.17327,1.11264,0.0144554,0.0144554,0.0144554
73,4183.86,0.85106,0.63181,0.95967,0.6531,0.37063,0.39017,0.29187,1.09204,2.17198,1.10015,0.0143152,0.0143152,0.0143152
74,4240.91,0.8422,0.62396,0.95585,0.63439,0.36814,0.38105,0.28614,1.0884,2.16804,1.10134,0.014174,0.014174,0.014174
75,4297.66,0.83814,0.61836,0.9547,0.67114,0.36421,0.38805,0.29359,1.09767,2.1812,1.11003,0.0140318,0.0140318,0.0140318
76,4354.56,0.84368,0.62659,0.95708,0.6401,0.36874,0.3873,0.2939,1.10336,2.16565,1.10991,0.0138886,0.0138886,0.0138886
77,4410.89,0.84151,0.61507,0.95599,0.66202,0.36049,0.38171,0.29013,1.09045,2.20296,1.10645,0.0137444,0.0137444,0.0137444
78,4467.54,0.83647,0.6098,0.95274,0.64982,0.36119,0.38002,0.2879,1.09502,2.18182,1.10778,0.0135994,0.0135994,0.0135994
79,4524.39,0.82186,0.59631,0.94877,0.62004,0.37418,0.39263,0.29952,1.08314,2.12606,1.0978,0.0134535,0.0134535,0.0134535
80,4581.95,0.83718,0.60945,0.95316,0.66208,0.36457,0.39216,0.29602,1.08696,2.16593,1.10028,0.0133068,0.0133068,0.0133068
81,4638.71,0.82113,0.58953,0.94924,0.68829,0.36313,0.39418,0.29896,1.075,2.13922,1.09634,0.0131593,0.0131593,0.0131593
82,4696.18,0.82889,0.59086,0.94782,0.64598,0.37252,0.39732,0.30209,1.08676,2.13986,1.1085,0.013011,0.013011,0.013011
83,4753.49,0.82606,0.58709,0.94999,0.6189,0.38423,0.39821,0.30298,1.0774,2.13372,1.10079,0.012862,0.012862,0.012862
84,4810.16,0.80438,0.58349,0.94166,0.62936,0.38341,0.39889,0.30415,1.07827,2.16559,1.09391,0.0127123,0.0127123,0.0127123
85,4866.96,0.81355,0.58308,0.94284,0.70625,0.364,0.39926,0.30337,1.06883,2.11957,1.08747,0.012562,0.012562,0.012562
86,4924.16,0.80683,0.57653,0.94327,0.65748,0.3782,0.40477,0.3079,1.08302,2.14563,1.09962,0.0124111,0.0124111,0.0124111
