epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5193,0.55612,0.34894,0.86584,0.74879,0.4087,0.45551,0.35903,0.97467,2.16425,1.06101,0.0671255,0.000332066,0.000332066
2,115.533,0.54593,0.34237,0.86102,0.75917,0.40145,0.45464,0.35704,0.98018,2.19188,1.06206,0.0341254,0.000665327,0.000665327
3,173.48,0.55337,0.34524,0.86483,0.76282,0.40597,0.45886,0.35958,0.97778,2.17806,1.05673,0.00112504,0.000998299,0.000998299
4,231.066,0.55701,0.34875,0.86485,0.77975,0.40134,0.45652,0.35802,0.97907,2.1904,1.0625,0.000999023,0.000999023,0.000999023
5,289.064,0.57502,0.35817,0.86861,0.7789,0.40106,0.45693,0.3576,0.97842,2.21239,1.05798,0.000998264,0.000998264,0.000998264
6,345.967,0.55738,0.34764,0.86774,0.76212,0.40351,0.45698,0.35922,0.98268,2.22301,1.06128,0.000997288,0.000997288,0.000997288
7,404.948,0.57585,0.35889,0.87147,0.79277,0.39914,0.45728,0.36054,0.97152,2.23547,1.05586,0.000996097,0.000996097,0.000996097
8,464.14,0.56779,0.35539,0.86847,0.73732,0.41337,0.45962,0.3635,0.97372,2.21566,1.05922,0.00099469,0.00099469,0.00099469
9,522.131,0.56114,0.35002,0.86379,0.75639,0.40738,0.4625,0.36304,0.97351,2.21216,1.06247,0.000993068,0.000993068,0.000993068
10,579.839,0.56211,0.3505,0.86521,0.77918,0.40094,0.45815,0.3593,0.98037,2.23576,1.05943,0.000991232,0.000991232,0.000991232
11,637.207,0.57186,0.35889,0.86637,0.72344,0.40586,0.45742,0.35929,0.97664,2.22119,1.0587,0.000989183,0.000989183,0.000989183
12,693.2,0.5624,0.35162,0.86531,0.75763,0.40262,0.45417,0.35746,0.98678,2.21665,1.06031,0.000986922,0.000986922,0.000986922
13,748.321,0.55934,0.34973,0.86527,0.74718,0.40929,0.46016,0.36367,0.98176,2.22379,1.06042,0.000984449,0.000984449,0.000984449
14,803.691,0.5688,0.35583,0.86682,0.72966,0.4148,0.45844,0.36191,0.97307,2.20859,1.05563,0.000981765,0.000981765,0.000981765
15,859.113,0.55815,0.34953,0.86368,0.75779,0.40621,0.45667,0.36121,0.97251,2.22265,1.05499,0.000978873,0.000978873,0.000978873
16,914.8,0.56555,0.3541,0.86535,0.75382,0.40894,0.45666,0.35986,0.97346,2.21868,1.05699,0.000975773,0.000975773,0.000975773
17,970.441,0.55171,0.34532,0.86531,0.78539,0.40228,0.45852,0.3606,0.98771,2.21005,1.06121,0.000972466,0.000972466,0.000972466
